2021,12,5,1,1,4,2,118000,1
2021,12,17,2,1,4,2,56000,3
2021,12,23,1,1,4,2,118000,1
2021,12,23,1,1,3,2,104000,1
2022,1,15,2,1,4,2,56000,3
2022,1,18,1,2,4,4,134400,6
2022,1,18,2,2,4,4,180000,1
2022,2,3,1,1,5,2,94000,1
2022,2,3,1,1,2,4,188000,1
2022,2,3,2,1,4,2,56000,2
2022,2,5,1,2,4,1,29500,5
2022,2,5,1,1,3,2,104000,1
2022,2,19,1,2,4,2,96000,1
2022,2,19,2,1,4,6,336000,1
2022,3,1,1,1,3,2,104000,1
2022,3,2,2,1,4,3,84000,3
2022,3,20,1,1,4,1,29500,5
2022,3,22,1,2,4,4,134400,6
2022,3,22,1,1,2,2,94000,1
2022,3,23,1,2,3,4,168000,1
2022,3,23,1,1,1,1,15000,1
2022,3,23,1,1,6,2,0,1
